"","city","year","weekofyear","week_start_date","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","ndvi_ne_prev","ndvi_nw_prev","ndvi_se_prev","ndvi_sw_prev","precipitation_amt_mm_prev","reanalysis_air_temp_k_prev","reanalysis_avg_temp_k_prev","reanalysis_dew_point_temp_k_prev","reanalysis_max_air_temp_k_prev","reanalysis_min_air_temp_k_prev","reanalysis_precip_amt_kg_per_m2_prev","reanalysis_relative_humidity_percent_prev","reanalysis_sat_precip_amt_mm_prev","reanalysis_specific_humidity_g_per_kg_prev","reanalysis_tdtr_k_prev","station_avg_temp_c_prev","station_diur_temp_rng_c_prev","station_max_temp_c_prev","station_min_temp_c_prev","station_precip_mm_prev","ndvi_ne_2_prev","ndvi_nw_2_prev","ndvi_se_2_prev","ndvi_sw_2_prev","precipitation_amt_mm_2_prev","reanalysis_air_temp_k_2_prev","reanalysis_avg_temp_k_2_prev","reanalysis_dew_point_temp_k_2_prev","reanalysis_max_air_temp_k_2_prev","reanalysis_min_air_temp_k_2_prev","reanalysis_precip_amt_kg_per_m2_2_prev","reanalysis_relative_humidity_percent_2_prev","reanalysis_sat_precip_amt_mm_2_prev","reanalysis_specific_humidity_g_per_kg_2_prev","reanalysis_tdtr_k_2_prev","station_avg_temp_c_2_prev","station_diur_temp_rng_c_2_prev","station_max_temp_c_2_prev","station_min_temp_c_2_prev","station_precip_mm_2_prev","total_cases"
"438","iq",2000,28,"2000-07-15",0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.415714286,297.392857143,295.622857143,304.5,292.6,64.77,95.8485714286,55.52,17.12,7.38571428571,26.8,11.4666666667,33,20.7,38.1,0.2168333,0.2761,0.2894571,0.2416571,60.61,296.634285714,298.428571429,295.358571429,306.6,291.1,46,93.5814285714,60.61,16.8628571429,10.3142857143,26.9,11.5666666667,34,20.8,55.6,0.1928857,0.1322571,0.3408857,0.2472,25.41,296.74,298.45,295.184285714,307.3,293.1,43.19,92.4185714286,25.41,16.6514285714,8.92857142857,26.4,10.775,32.5,20.7,3,0
"439","iq",2000,29,"2000-07-22",0.2277286,0.1454286,0.2542,0.2003143,5.6,295.357142857,296.228571429,292.797142857,303.6,288.6,23.96,87.2342857143,5.6,14.4314285714,9.11428571429,25.7666666667,10.5333333333,31.5,14.7,30,0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.415714286,297.392857143,295.622857143,304.5,292.6,64.77,95.8485714286,55.52,17.12,7.38571428571,26.8,11.4666666667,33,20.7,38.1,0.2168333,0.2761,0.2894571,0.2416571,60.61,296.634285714,298.428571429,295.358571429,306.6,291.1,46,93.5814285714,60.61,16.8628571429,10.3142857143,26.9,11.5666666667,34,20.8,55.6,0
"440","iq",2000,30,"2000-07-29",0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.432857143,297.635714286,293.957142857,307,291.5,31.8,88.1614285714,62.76,15.4442857143,9.5,26.6,11.48,33.3,19.1,4,0.2277286,0.1454286,0.2542,0.2003143,5.6,295.357142857,296.228571429,292.797142857,303.6,288.6,23.96,87.2342857143,5.6,14.4314285714,9.11428571429,25.7666666667,10.5333333333,31.5,14.7,30,0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.415714286,297.392857143,295.622857143,304.5,292.6,64.77,95.8485714286,55.52,17.12,7.38571428571,26.8,11.4666666667,33,20.7,38.1,0
"441","iq",2000,31,"2000-08-05",0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.191428571,298.285714286,291.725714286,306.2,288.5,1,74.7285714286,16.24,13.4214285714,13.7714285714,25.34,10.94,32,17,11.5,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.432857143,297.635714286,293.957142857,307,291.5,31.8,88.1614285714,62.76,15.4442857143,9.5,26.6,11.48,33.3,19.1,4,0.2277286,0.1454286,0.2542,0.2003143,5.6,295.357142857,296.228571429,292.797142857,303.6,288.6,23.96,87.2342857143,5.6,14.4314285714,9.11428571429,25.7666666667,10.5333333333,31.5,14.7,30,0
"442","iq",2000,32,"2000-08-12",0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.2757142857,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34,19.9,72.9,0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.191428571,298.285714286,291.725714286,306.2,288.5,1,74.7285714286,16.24,13.4214285714,13.7714285714,25.34,10.94,32,17,11.5,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.432857143,297.635714286,293.957142857,307,291.5,31.8,88.1614285714,62.76,15.4442857143,9.5,26.6,11.48,33.3,19.1,4,0
"443","iq",2000,33,"2000-08-19",0.3841333,0.39224,0.34178,0.38275,42.08,297.627142857,299.335714286,293.992857143,307.9,290.6,16.9,82.49,42.08,15.4657142857,13.7,26.5833333333,10.3166666667,33,20.5,50.1,0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.2757142857,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34,19.9,72.9,0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.191428571,298.285714286,291.725714286,306.2,288.5,1,74.7285714286,16.24,13.4214285714,13.7714285714,25.34,10.94,32,17,11.5,0
"444","iq",2000,34,"2000-08-26",0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.238571429,299.571428571,292.904285714,310.1,291.3,5.59,74.74,49.22,14.4442857143,13.7714285714,26.9,13.4,34,19,89.2,0.3841333,0.39224,0.34178,0.38275,42.08,297.627142857,299.335714286,293.992857143,307.9,290.6,16.9,82.49,42.08,15.4657142857,13.7,26.5833333333,10.3166666667,33,20.5,50.1,0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.2757142857,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34,19.9,72.9,0
"445","iq",2000,35,"2000-09-02",0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.218571429,300.928571429,293.472857143,310.5,292.9,16.07,74.1514285714,53.65,15.0571428571,12.4571428571,27.1166666667,12.2666666667,34,20,78,0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.238571429,299.571428571,292.904285714,310.1,291.3,5.59,74.74,49.22,14.4442857143,13.7714285714,26.9,13.4,34,19,89.2,0.3841333,0.39224,0.34178,0.38275,42.08,297.627142857,299.335714286,293.992857143,307.9,290.6,16.9,82.49,42.08,15.4657142857,13.7,26.5833333333,10.3166666667,33,20.5,50.1,0
"446","iq",2000,36,"2000-09-09",0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.802857143,301.935714286,290.635714286,312.8,291.5,2.5,57.7871428571,23.12,12.6528571429,14.9,28.3666666667,12.9,35.8,21.7,56.9,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.218571429,300.928571429,293.472857143,310.5,292.9,16.07,74.1514285714,53.65,15.0571428571,12.4571428571,27.1166666667,12.2666666667,34,20,78,0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.238571429,299.571428571,292.904285714,310.1,291.3,5.59,74.74,49.22,14.4442857143,13.7714285714,26.9,13.4,34,19,89.2,1
"447","iq",2000,37,"2000-09-16",0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.858571429,301.371428571,293.64,310.7,292.3,4.1,71.66,34.62,15.2271428571,13.8571428571,27.425,12.775,34.5,20.5,18.9,0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.802857143,301.935714286,290.635714286,312.8,291.5,2.5,57.7871428571,23.12,12.6528571429,14.9,28.3666666667,12.9,35.8,21.7,56.9,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.218571429,300.928571429,293.472857143,310.5,292.9,16.07,74.1514285714,53.65,15.0571428571,12.4571428571,27.1166666667,12.2666666667,34,20,78,0
"448","iq",2000,38,"2000-09-23",0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.435714286,298.514285714,292.707142857,310.2,288.3,3.2,77.4871428571,97.55,14.3385714286,11.3142857143,27.5333333333,12.5666666667,36,20.5,104.2,0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.858571429,301.371428571,293.64,310.7,292.3,4.1,71.66,34.62,15.2271428571,13.8571428571,27.425,12.775,34.5,20.5,18.9,0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.802857143,301.935714286,290.635714286,312.8,291.5,2.5,57.7871428571,23.12,12.6528571429,14.9,28.3666666667,12.9,35.8,21.7,56.9,0
