"","city","year","weekofyear","week_start_date","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","ndvi_ne_prev","ndvi_nw_prev","ndvi_se_prev","ndvi_sw_prev","precipitation_amt_mm_prev","reanalysis_air_temp_k_prev","reanalysis_avg_temp_k_prev","reanalysis_dew_point_temp_k_prev","reanalysis_max_air_temp_k_prev","reanalysis_min_air_temp_k_prev","reanalysis_precip_amt_kg_per_m2_prev","reanalysis_relative_humidity_percent_prev","reanalysis_sat_precip_amt_mm_prev","reanalysis_specific_humidity_g_per_kg_prev","reanalysis_tdtr_k_prev","station_avg_temp_c_prev","station_diur_temp_rng_c_prev","station_max_temp_c_prev","station_min_temp_c_prev","station_precip_mm_prev","ndvi_ne_2_prev","ndvi_nw_2_prev","ndvi_se_2_prev","ndvi_sw_2_prev","precipitation_amt_mm_2_prev","reanalysis_air_temp_k_2_prev","reanalysis_avg_temp_k_2_prev","reanalysis_dew_point_temp_k_2_prev","reanalysis_max_air_temp_k_2_prev","reanalysis_min_air_temp_k_2_prev","reanalysis_precip_amt_kg_per_m2_2_prev","reanalysis_relative_humidity_percent_2_prev","reanalysis_sat_precip_amt_mm_2_prev","reanalysis_specific_humidity_g_per_kg_2_prev","reanalysis_tdtr_k_2_prev","station_avg_temp_c_2_prev","station_diur_temp_rng_c_2_prev","station_max_temp_c_2_prev","station_min_temp_c_2_prev","station_precip_mm_2_prev","total_cases"
"1","sj",1990,20,"1990-05-14",0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,0.1226,0.103725,0.1984833,0.1776167,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20,16,4
"2","sj",1990,21,"1990-05-21",0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,3
"3","sj",1990,22,"1990-05-28",0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35,23.9,5.8,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,6
"4","sj",1990,26,"1990-06-25",0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,10
"5","sj",1990,30,"1990-07-23",0.1505667,0.1717,0.2269,0.2145571,16.48,299.558571429,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.07142857143,28.1142857143,6.35714285714,31.7,22.8,32.6,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.334285714,302,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,6
"6","sj",1990,36,"1990-09-03",0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.117142857,303.8,298,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,0.2529,0.33075,0.2641714,0.2843143,40.94,300.118571429,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.6571428571,6.52857142857,32.2,24.4,13.7,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.3428571429,7.01428571429,33.3,23.3,5.4,24
"7","sj",1990,37,"1990-09-10",0.1279667,0.4371,0.1234,0.1482833,64.56,300.674285714,300.792857143,297.192857143,302.9,299,24.18,81.5514285714,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.117142857,303.8,298,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,0.2529,0.33075,0.2641714,0.2843143,40.94,300.118571429,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.6571428571,6.52857142857,32.2,24.4,13.7,20
"8","sj",1990,38,"1990-09-17",0.19635,0.1824333,0.2548286,0.3056857,143.73,299.857142857,299.9,296.431428571,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,0.1279667,0.4371,0.1234,0.1482833,64.56,300.674285714,300.792857143,297.192857143,302.9,299,24.18,81.5514285714,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.117142857,303.8,298,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,40
"9","sj",1990,39,"1990-09-24",0.1161,0.2609,0.1994429,0.2442167,51.39,300.427142857,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.25714285714,28.3428571429,7.72857142857,32.8,24.4,15.8,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.857142857,299.9,296.431428571,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,0.1279667,0.4371,0.1234,0.1482833,64.56,300.674285714,300.792857143,297.192857143,302.9,299,24.18,81.5514285714,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,27
"10","sj",1990,40,"1990-10-01",0.22855,0.18975,0.2124857,0.2011857,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.7714285714,8.02857142857,33.3,23.9,11.7,0.1161,0.2609,0.1994429,0.2442167,51.39,300.427142857,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.25714285714,28.3428571429,7.72857142857,32.8,24.4,15.8,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.857142857,299.9,296.431428571,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,42
